EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
700000000000000F00000915,11,-77,3000,3/3/2025 10:42:01 AM,3/3/2025 10:41:58 AM,0,,,11,3/3/2025 10:42:01 AM,3/3/2025 10:41:58 AM,0,,,0,,
E280116020007432F8610915,8,-75,3000,3/3/2025 10:42:00 AM,3/3/2025 10:42:00 AM,8,3/3/2025 10:42:00 AM,3/3/2025 10:42:00 AM,0,,,0,,,0,,
3000000000000000F0000000,10,-78,3000,3/3/2025 10:42:01 AM,3/3/2025 10:42:00 AM,3,3/3/2025 10:42:00 AM,3/3/2025 10:42:00 AM,7,3/3/2025 10:42:01 AM,3/3/2025 10:42:00 AM,0,,,0,,
1000000000000000F0000000,13,-72,3000,3/3/2025 10:42:01 AM,3/3/2025 10:42:00 AM,0,,,13,3/3/2025 10:42:01 AM,3/3/2025 10:42:00 AM,0,,,0,,
200000000000000F00000915,7,-75,3000,3/3/2025 10:42:01 AM,3/3/2025 10:42:00 AM,0,,,7,3/3/2025 10:42:01 AM,3/3/2025 10:42:00 AM,0,,,0,,
