EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
1000000000000000F0000000,10,-73,3000,3/3/2025 10:29:27 AM,3/3/2025 10:29:26 AM,0,,,4,3/3/2025 10:29:27 AM,3/3/2025 10:29:27 AM,0,,,6,3/3/2025 10:29:27 AM,3/3/2025 10:29:26 AM
E280116020007432F8610915,9,-74,3000,3/3/2025 10:29:27 AM,3/3/2025 10:29:27 AM,4,3/3/2025 10:29:27 AM,3/3/2025 10:29:27 AM,5,3/3/2025 10:29:27 AM,3/3/2025 10:29:27 AM,0,,,0,,
800000000000000F00000103,11,-69,3000,3/3/2025 10:29:28 AM,3/3/2025 10:29:27 AM,0,,,11,3/3/2025 10:29:28 AM,3/3/2025 10:29:27 AM,0,,,0,,
200000000000000F00000915,8,-77,3000,3/3/2025 10:29:27 AM,3/3/2025 10:29:27 AM,0,,,8,3/3/2025 10:29:27 AM,3/3/2025 10:29:27 AM,0,,,0,,
700000000000000F00000915,12,-61,3000,3/3/2025 10:29:28 AM,3/3/2025 10:29:27 AM,0,,,12,3/3/2025 10:29:28 AM,3/3/2025 10:29:27 AM,0,,,0,,
