EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
700000000000000F00000915,32,-78,3000,3/3/2025 10:41:11 AM,3/3/2025 10:41:05 AM,5,3/3/2025 10:41:11 AM,3/3/2025 10:41:09 AM,7,3/3/2025 10:41:10 AM,3/3/2025 10:41:10 AM,0,,,20,3/3/2025 10:41:09 AM,3/3/2025 10:41:05 AM
E280116020007432F8610915,10,-81,3000,3/3/2025 10:41:09 AM,3/3/2025 10:41:09 AM,0,,,0,,,0,,,10,3/3/2025 10:41:09 AM,3/3/2025 10:41:09 AM
3000000000000000F0000000,3,-78,3000,3/3/2025 10:41:10 AM,3/3/2025 10:41:09 AM,2,3/3/2025 10:41:09 AM,3/3/2025 10:41:09 AM,1,3/3/2025 10:41:10 AM,3/3/2025 10:41:10 AM,0,,,0,,
900000000000000F00000104,2,-71,3000,3/3/2025 10:41:09 AM,3/3/2025 10:41:09 AM,2,3/3/2025 10:41:09 AM,3/3/2025 10:41:09 AM,0,,,0,,,0,,
200000000000000F00000915,6,-73,3000,3/3/2025 10:41:10 AM,3/3/2025 10:41:10 AM,0,,,6,3/3/2025 10:41:10 AM,3/3/2025 10:41:10 AM,0,,,0,,
