EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
3000000000000000F0000000,90,-75,3000,3/3/2025 10:35:54 AM,3/3/2025 10:35:42 AM,32,3/3/2025 10:35:54 AM,3/3/2025 10:35:49 AM,3,3/3/2025 10:35:48 AM,3/3/2025 10:35:48 AM,0,,,55,3/3/2025 10:35:53 AM,3/3/2025 10:35:42 AM
700000000000000F00000915,52,-70,3000,3/3/2025 10:35:58 AM,3/3/2025 10:35:47 AM,0,,,48,3/3/2025 10:35:58 AM,3/3/2025 10:35:50 AM,0,,,4,3/3/2025 10:35:49 AM,3/3/2025 10:35:47 AM
1000000000000000F0000000,12,-81,3000,3/3/2025 10:35:58 AM,3/3/2025 10:35:48 AM,0,,,12,3/3/2025 10:35:58 AM,3/3/2025 10:35:48 AM,0,,,0,,
