EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
700000000000000F00000915,9,-78,3000,3/3/2025 10:31:20 AM,3/3/2025 10:31:18 AM,0,,,9,3/3/2025 10:31:20 AM,3/3/2025 10:31:18 AM,0,,,0,,
E280116020007432F8610915,10,-75,3000,3/3/2025 10:31:19 AM,3/3/2025 10:31:18 AM,0,,,10,3/3/2025 10:31:19 AM,3/3/2025 10:31:18 AM,0,,,0,,
1000000000000000F0000000,8,-75,3000,3/3/2025 10:31:19 AM,3/3/2025 10:31:18 AM,0,,,8,3/3/2025 10:31:19 AM,3/3/2025 10:31:18 AM,0,,,0,,
3000000000000000F0000000,5,-76,3000,3/3/2025 10:31:19 AM,3/3/2025 10:31:19 AM,0,,,5,3/3/2025 10:31:19 AM,3/3/2025 10:31:19 AM,0,,,0,,
