EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
700000000000000F00000915,62,-77,3000,3/3/2025 10:37:23 AM,3/3/2025 10:37:15 AM,0,,,46,3/3/2025 10:37:21 AM,3/3/2025 10:37:15 AM,0,,,16,3/3/2025 10:37:23 AM,3/3/2025 10:37:22 AM
3000000000000000F0000000,61,-77,3000,3/3/2025 10:37:23 AM,3/3/2025 10:37:17 AM,17,3/3/2025 10:37:21 AM,3/3/2025 10:37:19 AM,11,3/3/2025 10:37:18 AM,3/3/2025 10:37:17 AM,0,,,33,3/3/2025 10:37:23 AM,3/3/2025 10:37:20 AM
1000000000000000F0000000,5,-78,3000,3/3/2025 10:37:19 AM,3/3/2025 10:37:19 AM,0,,,5,3/3/2025 10:37:19 AM,3/3/2025 10:37:19 AM,0,,,0,,
