EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
700000000000000F00000915,34,-75,3000,3/3/2025 10:33:59 AM,3/3/2025 10:33:56 AM,18,3/3/2025 10:33:59 AM,3/3/2025 10:33:56 AM,16,3/3/2025 10:33:59 AM,3/3/2025 10:33:57 AM,0,,,0,,
3000000000000000F0000000,31,-79,3000,3/3/2025 10:34:01 AM,3/3/2025 10:33:57 AM,13,3/3/2025 10:33:59 AM,3/3/2025 10:33:57 AM,17,3/3/2025 10:34:01 AM,3/3/2025 10:34:01 AM,0,,,1,3/3/2025 10:33:58 AM,3/3/2025 10:33:58 AM
200000000000000F00000915,9,-76,3000,3/3/2025 10:33:57 AM,3/3/2025 10:33:57 AM,0,,,9,3/3/2025 10:33:57 AM,3/3/2025 10:33:57 AM,0,,,0,,
1000000000000000F0000000,26,-73,3000,3/3/2025 10:33:59 AM,3/3/2025 10:33:57 AM,0,,,26,3/3/2025 10:33:59 AM,3/3/2025 10:33:57 AM,0,,,0,,
E280116020007432F8610915,7,-83,3000,3/3/2025 10:34:16 AM,3/3/2025 10:34:06 AM,0,,,0,,,0,,,7,3/3/2025 10:34:16 AM,3/3/2025 10:34:06 AM
