EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
E280116020007432F8610915,6,-81,3000,3/3/2025 10:33:00 AM,3/3/2025 10:33:00 AM,0,,,2,3/3/2025 10:33:00 AM,3/3/2025 10:33:00 AM,0,,,4,3/3/2025 10:33:00 AM,3/3/2025 10:33:00 AM
700000000000000F00000915,33,-76,3000,3/3/2025 10:33:04 AM,3/3/2025 10:33:00 AM,1,3/3/2025 10:33:00 AM,3/3/2025 10:33:00 AM,32,3/3/2025 10:33:04 AM,3/3/2025 10:33:00 AM,0,,,0,,
3000000000000000F0000000,17,-79,3000,3/3/2025 10:33:02 AM,3/3/2025 10:33:00 AM,4,3/3/2025 10:33:02 AM,3/3/2025 10:33:00 AM,9,3/3/2025 10:33:01 AM,3/3/2025 10:33:00 AM,0,,,4,3/3/2025 10:33:01 AM,3/3/2025 10:33:01 AM
1000000000000000F0000000,25,-69,3000,3/3/2025 10:33:04 AM,3/3/2025 10:33:00 AM,0,,,25,3/3/2025 10:33:04 AM,3/3/2025 10:33:00 AM,0,,,0,,
