EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
E280116020007432F8610915,19,-71,3000,3/3/2025 10:38:31 AM,3/3/2025 10:38:26 AM,9,3/3/2025 10:38:31 AM,3/3/2025 10:38:30 AM,0,,,0,,,10,3/3/2025 10:38:27 AM,3/3/2025 10:38:26 AM
700000000000000F00000915,87,-78,3000,3/3/2025 10:38:37 AM,3/3/2025 10:38:28 AM,23,3/3/2025 10:38:37 AM,3/3/2025 10:38:31 AM,42,3/3/2025 10:38:33 AM,3/3/2025 10:38:29 AM,0,,,22,3/3/2025 10:38:30 AM,3/3/2025 10:38:28 AM
3000000000000000F0000000,20,-79,3000,3/3/2025 10:38:33 AM,3/3/2025 10:38:31 AM,16,3/3/2025 10:38:33 AM,3/3/2025 10:38:31 AM,4,3/3/2025 10:38:31 AM,3/3/2025 10:38:31 AM,0,,,0,,
1000000000000000F0000000,12,-83,3000,3/3/2025 10:38:31 AM,3/3/2025 10:38:31 AM,0,,,12,3/3/2025 10:38:31 AM,3/3/2025 10:38:31 AM,0,,,0,,
200000000000000F00000915,11,-77,3000,3/3/2025 10:38:33 AM,3/3/2025 10:38:31 AM,0,,,11,3/3/2025 10:38:33 AM,3/3/2025 10:38:31 AM,0,,,0,,
