EPC,Count,RSSI,PC,LastSeen,FirstSeen,A1Count,A1LastSeen,A1FirstSeen,A2Count,A2LastSeen,A2FirstSeen,A3Count,A3LastSeen,A3FirstSeen,A4Count,A4LastSeen,A4FirstSeen
700000000000000F00000915,19,-81,3000,3/3/2025 10:40:13 AM,3/3/2025 10:40:09 AM,0,,,14,3/3/2025 10:40:13 AM,3/3/2025 10:40:10 AM,5,3/3/2025 10:40:09 AM,3/3/2025 10:40:09 AM,0,,
3000000000000000F0000000,22,-76,3000,3/3/2025 10:40:12 AM,3/3/2025 10:40:10 AM,22,3/3/2025 10:40:12 AM,3/3/2025 10:40:10 AM,0,,,0,,,0,,
E280116020007432F8610915,9,-82,3000,3/3/2025 10:40:12 AM,3/3/2025 10:40:10 AM,7,3/3/2025 10:40:10 AM,3/3/2025 10:40:10 AM,2,3/3/2025 10:40:12 AM,3/3/2025 10:40:12 AM,0,,,0,,
200000000000000F00000915,13,-85,3000,3/3/2025 10:40:13 AM,3/3/2025 10:40:10 AM,0,,,13,3/3/2025 10:40:13 AM,3/3/2025 10:40:10 AM,0,,,0,,
1000000000000000F0000000,10,-75,3000,3/3/2025 10:40:13 AM,3/3/2025 10:40:12 AM,0,,,10,3/3/2025 10:40:13 AM,3/3/2025 10:40:12 AM,0,,,0,,
